Date,Date_quarter,Holding,HoldingValue,NetDebt,eqy_shares_total,NAV,NAV_PS,Price,Discount,NetDebt_ffill,LastFinDate,DaysSinceFin,StaleFund,HoldingValue_orig,NetDebt_orig,NAV_orig,eqy_shares_total_orig,NAV_PS_orig
2025-05-06,2025Q2,ALMENDRAL,451486.4486945038,-1571.293000000063,18048.204643,453057.7416945039,25.10264874851263,19.0,0.24310776164105874,-1571.293000000063,2025-09-30,-147.0,False,451486.4486945038,-1571.293000000063,453057.7416945039,18048.204643,25.10264874851263
2025-05-07,2025Q2,ALMENDRAL,453047.3639976516,-1571.293000000063,18048.204643,454618.6569976516,25.189134653012456,18.72,0.25682242530863564,-1571.293000000063,2025-09-30,-146.0,False,453047.3639976516,-1571.293000000063,454618.6569976516,18048.204643,25.189134653012456
2025-05-08,2025Q2,ALMENDRAL,448348.01260626,-1571.293000000063,18048.204643,449919.3056062601,24.928756876699165,18.72,0.24906002763830049,-1571.293000000063,2025-09-30,-145.0,False,448348.01260626,-1571.293000000063,449919.3056062601,18048.204643,24.928756876699165
2025-05-09,2025Q2,ALMENDRAL,451669.108995936,-1571.293000000063,18048.204643,453240.40199593606,25.112769439464746,18.72,0.25456250274884074,-1571.293000000063,2025-09-30,-144.0,False,451669.108995936,-1571.293000000063,453240.40199593606,18048.204643,25.112769439464746
2025-05-12,2025Q2,ALMENDRAL,455969.9288205665,-1571.293000000063,18048.204643,457541.2218205665,25.351065708246164,17.7,0.30180449990934444,-1571.293000000063,2025-09-30,-141.0,False,455969.9288205665,-1571.293000000063,457541.2218205665,18048.204643,25.351065708246164
2025-05-13,2025Q2,ALMENDRAL,459589.9238853132,-1571.293000000063,18048.204643,461161.2168853133,25.55163940166064,17.79,0.3037628732799118,-1571.293000000063,2025-09-30,-140.0,False,459589.9238853132,-1571.293000000063,461161.2168853133,18048.204643,25.55163940166064
2025-05-14,2025Q2,ALMENDRAL,468274.590944316,-1571.293000000063,18048.204643,469845.88394431607,26.03283225329262,17.67,0.32124173704668235,-1571.293000000063,2025-09-30,-139.0,False,468274.590944316,-1571.293000000063,469845.88394431607,18048.204643,26.03283225329262
2025-05-15,2025Q2,ALMENDRAL,467294.8675093616,-1571.293000000063,18048.204643,468866.16050936165,25.978548547276777,17.69,0.3190535657599558,-1571.293000000063,2025-09-30,-138.0,False,467294.8675093616,-1571.293000000063,468866.16050936165,18048.204643,25.978548547276777
2025-05-16,2025Q2,ALMENDRAL,465401.84256724623,-1571.293000000063,18048.204643,466973.1355672463,25.8736613865004,17.52,0.32286351984411954,-1571.293000000063,2025-09-30,-137.0,False,465401.84256724623,-1571.293000000063,466973.1355672463,18048.204643,25.8736613865004
2025-05-19,2025Q2,ALMENDRAL,465302.20967555593,-1571.293000000063,18048.204643,466873.502675556,25.86814100961743,17.73,0.3146009219058987,-1571.293000000063,2025-09-30,-134.0,False,465302.20967555593,-1571.293000000063,466873.502675556,18048.204643,25.86814100961743
2025-05-20,2025Q2,ALMENDRAL,465435.053531143,-1571.293000000063,18048.204643,467006.3465311431,25.875501512128054,17.9,0.3082259684276989,-1571.293000000063,2025-09-30,-133.0,False,465435.053531143,-1571.293000000063,467006.3465311431,18048.204643,25.875501512128054
2025-05-22,2025Q2,ALMENDRAL,464123.220457221,-1571.293000000063,18048.204643,465694.513457221,25.80281654983565,17.9,0.306277283124194,-1571.293000000063,2025-09-30,-131.0,False,464123.220457221,-1571.293000000063,465694.513457221,18048.204643,25.80281654983565
2025-05-23,2025Q2,ALMENDRAL,459905.42804233247,-1571.293000000063,18048.204643,461476.7210423325,25.56912059512337,17.9,0.29993681505753667,-1571.293000000063,2025-09-30,-130.0,False,459905.42804233247,-1571.293000000063,461476.7210423325,18048.204643,25.56912059512337
2025-05-26,2025Q2,ALMENDRAL,463508.817625131,-1571.293000000063,18048.204643,465080.1106251311,25.768774225724023,17.9,0.305360827674485,-1571.293000000063,2025-09-30,-127.0,False,463508.817625131,-1571.293000000063,465080.1106251311,18048.204643,25.768774225724023
2025-05-27,2025Q2,ALMENDRAL,465667.5302784203,-1571.293000000063,18048.204643,467238.8232784204,25.88838239152164,17.9,0.30857016366297996,-1571.293000000063,2025-09-30,-126.0,False,465667.5302784203,-1571.293000000063,467238.8232784204,18048.204643,25.88838239152164
2025-05-28,2025Q2,ALMENDRAL,463126.8915403182,-1571.293000000063,18048.204643,464698.1845403183,25.74761278100598,17.9,0.30478991771987374,-1571.293000000063,2025-09-30,-125.0,False,463126.8915403182,-1571.293000000063,464698.1845403183,18048.204643,25.74761278100598
2025-05-29,2025Q2,ALMENDRAL,459141.57587270695,-1571.293000000063,18048.204643,460712.868872707,25.526797705687283,17.9,0.29877612513801766,-1571.293000000063,2025-09-30,-124.0,False,459141.57587270695,-1571.293000000063,460712.868872707,18048.204643,25.526797705687283
2025-05-30,2025Q2,ALMENDRAL,458643.4114142556,-1571.293000000063,18048.204643,460214.7044142557,25.49919582127245,17.9,0.2980170776575196,-1571.293000000063,2025-09-30,-123.0,False,458643.4114142556,-1571.293000000063,460214.7044142557,18048.204643,25.49919582127245
2025-06-02,2025Q2,ALMENDRAL,459805.79515064217,-1571.293000000063,18048.204643,461377.08815064223,25.5636002182404,17.9,0.2997856386743285,-1571.293000000063,2025-09-30,-120.0,False,459805.79515064217,-1571.293000000063,461377.08815064223,18048.204643,25.5636002182404
2025-06-03,2025Q2,ALMENDRAL,469287.5253431672,-1571.293000000063,18048.204643,470858.81834316725,26.08895608493612,17.9,0.31388592392412595,-1571.293000000063,2025-09-30,-119.0,False,469287.5253431672,-1571.293000000063,470858.81834316725,18048.204643,26.08895608493612
2025-06-04,2025Q2,ALMENDRAL,473256.23552883,-1571.293000000063,18048.204643,474827.5285288301,26.308851097440986,17.9,0.31962061232916783,-1571.293000000063,2025-09-30,-118.0,False,473256.23552883,-1571.293000000063,474827.5285288301,18048.204643,26.308851097440986
2025-06-05,2025Q2,ALMENDRAL,465617.71383257513,-1571.293000000063,18048.204643,467189.0068325752,25.88562220308016,17.9,0.3084964363781043,-1571.293000000063,2025-09-30,-117.0,False,465617.71383257513,-1571.293000000063,467189.0068325752,18048.204643,25.88562220308016
2025-06-06,2025Q2,ALMENDRAL,470848.4406463149,-1571.293000000063,18048.204643,472419.7336463149,26.175441989435942,17.9,0.31615290365586957,-1571.293000000063,2025-09-30,-116.0,False,470848.4406463149,-1571.293000000063,472419.7336463149,18048.204643,26.175441989435942
2025-06-09,2025Q2,ALMENDRAL,479715.7680067498,-1571.293000000063,18048.204643,481287.06100674986,26.66675553202003,17.8,0.33250222440346366,-1571.293000000063,2025-09-30,-113.0,False,479715.7680067498,-1571.293000000063,481287.06100674986,18048.204643,26.66675553202003
2025-06-10,2025Q2,ALMENDRAL,493747.4002531309,-1571.293000000063,18048.204643,495318.6932531309,27.44420860970459,17.7,0.3550551866253824,-1571.293000000063,2025-09-30,-112.0,False,493747.4002531309,-1571.293000000063,495318.6932531309,18048.204643,27.44420860970459
2025-06-11,2025Q2,ALMENDRAL,489147.6817534296,-1571.293000000063,18048.204643,490718.9747534297,27.189351210274268,17.7,0.34900984348197495,-1571.293000000063,2025-09-30,-111.0,False,489147.6817534296,-1571.293000000063,490718.9747534297,18048.204643,27.189351210274268
2025-06-12,2025Q2,ALMENDRAL,486108.87855687615,-1571.293000000063,18048.204643,487680.1715568762,27.020979715343767,17.78,0.34199277053216204,-1571.293000000063,2025-09-30,-110.0,False,486108.87855687615,-1571.293000000063,487680.1715568762,18048.204643,27.020979715343767
