Description,Value,Curncy,Date,ID
Deudores comerciales y otras cuentas por cobrar corrientes,446.875,USD,2017-12-31,SQM-B
"Cuentas por cobrar a entidades relacionadas, corrientes",59.132,USD,2017-12-31,SQM-B
Inventarios corrientes,902.074,USD,2017-12-31,SQM-B
Activos biológicos corrientes,-,USD,2017-12-31,SQM-B
"Activos por impuestos corrientes, corrientes",32.291,USD,2017-12-31,SQM-B
Total de activos corrientes distintos de los activo o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2.464.672,USD,2017-12-31,SQM-B
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,1.589,USD,2017-12-31,SQM-B
Activos corrientes totales,2.466.261,USD,2017-12-31,SQM-B
Otros activos financieros no corrientes,62.879,USD,2017-12-31,SQM-B
Otros activos no financieros no corrientes,19.262,USD,2017-12-31,SQM-B
Cuentas por cobrar no corrientes,1.912,USD,2017-12-31,SQM-B
"Cuentas por cobrar a entidades relacionadas, no corrientes",-,USD,2017-12-31,SQM-B
"Inventarios, no corrientes",-,USD,2017-12-31,SQM-B
Inversiones contabilizadas utilizando el método de la participación,126.425,USD,2017-12-31,SQM-B
Activos intangibles distintos de la plusvalía,105.948,USD,2017-12-31,SQM-B
Plusvalía,44.177,USD,2017-12-31,SQM-B
"Propiedades, planta y equipo",1.437.193,USD,2017-12-31,SQM-B
Activos biológicos no corrientes,-,USD,2017-12-31,SQM-B
Propiedad de inversión,-,USD,2017-12-31,SQM-B
"Activos por impuestos corrientes, no corrientes",32.179,USD,2017-12-31,SQM-B
Activos por impuestos diferidos,-,USD,2017-12-31,SQM-B
Total de activos no corrientes,1.829.975,USD,2017-12-31,SQM-B
Total de activos,4.296.236,USD,2017-12-31,SQM-B
Otros pasivos financieros corrientes,220.328,USD,2017-12-31,SQM-B
Cuentas por pagar comerciales y otras cuentas por pagar,196.280,USD,2017-12-31,SQM-B
"Cuentas por pagar a entidades relacionadas, corrientes",1.365,USD,2017-12-31,SQM-B
Otras provisiones a corto plazo,63.445,USD,2017-12-31,SQM-B
"Pasivos por impuestos corrientes, corrientes",75.402,USD,2017-12-31,SQM-B
Provisiones corrientes por beneficios a los empleados,22.421,USD,2017-12-31,SQM-B
Otros pasivos no financieros corrientes,168.804,USD,2017-12-31,SQM-B
Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,748.045,USD,2017-12-31,SQM-B
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,-,USD,2017-12-31,SQM-B
Pasivos corrientes totales,748.045,USD,2017-12-31,SQM-B
Otros pasivos financieros no corrientes,1.031.507,USD,2017-12-31,SQM-B
Cuentas por pagar no corrientes,-,USD,2017-12-31,SQM-B
"Cuentas por pagar a entidades relacionadas, no corrientes",-,USD,2017-12-31,SQM-B
Otras provisiones a largo plazo,30.001,USD,2017-12-31,SQM-B
Pasivo por impuestos diferidos,205.283,USD,2017-12-31,SQM-B
"Pasivos por impuestos corrientes, no corrientes",-,USD,2017-12-31,SQM-B
Provisiones no corrientes por beneficios a los empleados,33.932,USD,2017-12-31,SQM-B
Otros pasivos no financieros no corrientes,-,USD,2017-12-31,SQM-B
Total de pasivos no corrientes,1.300.723,USD,2017-12-31,SQM-B
Total de pasivos,2.048.768,USD,2017-12-31,SQM-B
Capital emitido,477.386,USD,2017-12-31,SQM-B
Ganancias (pérdidas) acumuladas,1.724.784,USD,2017-12-31,SQM-B
Prima de emisión,-,USD,2017-12-31,SQM-B
Acciones propias en cartera,-,USD,2017-12-31,SQM-B
Otras participaciones en el patrimonio,-,USD,2017-12-31,SQM-B
Otras reservas,-14.349,USD,2017-12-31,SQM-B
Patrimonio atribuible a los propietarios de la controladora,2.187.821,USD,2017-12-31,SQM-B
Participaciones no controladoras,59.647,USD,2017-12-31,SQM-B
Patrimonio total,2.247.468,USD,2017-12-31,SQM-B
Total de patrimonio y pasivos,4.296.236,USD,2017-12-31,SQM-B
Efectivo y equivalentes al efectivo,575.089,USD,2018-03-31,SQM-B
Otros activos financieros corrientes,416.040,USD,2018-03-31,SQM-B
Otros activos no financieros corrientes,39.074,USD,2018-03-31,SQM-B
Deudores comerciales y otras cuentas por cobrar corrientes,421.520,USD,2018-03-31,SQM-B
"Cuentas por cobrar a entidades relacionadas, corrientes",57.889,USD,2018-03-31,SQM-B
Inventarios corrientes,923.657,USD,2018-03-31,SQM-B
Activos biológicos corrientes,-,USD,2018-03-31,SQM-B
"Activos por impuestos corrientes, corrientes",43.548,USD,2018-03-31,SQM-B
Total de activos corrientes distintos de los activo o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2.476.817,USD,2018-03-31,SQM-B
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,1.478,USD,2018-03-31,SQM-B
Activos corrientes totales,2.478.295,USD,2018-03-31,SQM-B
Otros activos financieros no corrientes,50.557,USD,2018-03-31,SQM-B
Otros activos no financieros no corrientes,15.733,USD,2018-03-31,SQM-B
Cuentas por cobrar no corrientes,1.949,USD,2018-03-31,SQM-B
"Cuentas por cobrar a entidades relacionadas, no corrientes",-,USD,2018-03-31,SQM-B
"Inventarios, no corrientes",-,USD,2018-03-31,SQM-B
Inversiones contabilizadas utilizando el método de la participación,153.065,USD,2018-03-31,SQM-B
Activos intangibles distintos de la plusvalía,105.403,USD,2018-03-31,SQM-B
Plusvalía,44.177,USD,2018-03-31,SQM-B
"Propiedades, planta y equipo",1.442.253,USD,2018-03-31,SQM-B
Activos biológicos no corrientes,-,USD,2018-03-31,SQM-B
Propiedad de inversión,-,USD,2018-03-31,SQM-B
"Activos por impuestos corrientes, no corrientes",32.179,USD,2018-03-31,SQM-B
Activos por impuestos diferidos,-,USD,2018-03-31,SQM-B
Total de activos no corrientes,1.845.316,USD,2018-03-31,SQM-B
Total de activos,4.323.611,USD,2018-03-31,SQM-B
Otros pasivos financieros corrientes,135.888,USD,2018-03-31,SQM-B
Cuentas por pagar comerciales y otras cuentas por pagar,300.612,USD,2018-03-31,SQM-B
"Cuentas por pagar a entidades relacionadas, corrientes",2,USD,2018-03-31,SQM-B
Otras provisiones a corto plazo,42.789,USD,2018-03-31,SQM-B
"Pasivos por impuestos corrientes, corrientes",105.617,USD,2018-03-31,SQM-B
Provisiones corrientes por beneficios a los empleados,8.149,USD,2018-03-31,SQM-B
Otros pasivos no financieros corrientes,176.428,USD,2018-03-31,SQM-B
Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,769.485,USD,2018-03-31,SQM-B
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,-,USD,2018-03-31,SQM-B
Pasivos corrientes totales,769.485,USD,2018-03-31,SQM-B
Otros pasivos financieros no corrientes,1.037.969,USD,2018-03-31,SQM-B
Cuentas por pagar no corrientes,-,USD,2018-03-31,SQM-B
"Cuentas por pagar a entidades relacionadas, no corrientes",-,USD,2018-03-31,SQM-B
Otras provisiones a largo plazo,30.352,USD,2018-03-31,SQM-B
Pasivo por impuestos diferidos,195.870,USD,2018-03-31,SQM-B
"Pasivos por impuestos corrientes, no corrientes",-,USD,2018-03-31,SQM-B
Provisiones no corrientes por beneficios a los empleados,36.962,USD,2018-03-31,SQM-B
Otros pasivos no financieros no corrientes,-,USD,2018-03-31,SQM-B
Total de pasivos no corrientes,1.301.153,USD,2018-03-31,SQM-B
Total de pasivos,2.070.638,USD,2018-03-31,SQM-B
Capital emitido,477.386,USD,2018-03-31,SQM-B
Ganancias (pérdidas) acumuladas,1.717.320,USD,2018-03-31,SQM-B
Prima de emisión,-,USD,2018-03-31,SQM-B
Acciones propias en cartera,-,USD,2018-03-31,SQM-B
Otras participaciones en el patrimonio,-,USD,2018-03-31,SQM-B
Otras reservas,-1.404,USD,2018-03-31,SQM-B
Patrimonio atribuible a los propietarios de la controladora,2.193.302,USD,2018-03-31,SQM-B
Participaciones no controladoras,59.671,USD,2018-03-31,SQM-B
Patrimonio total,2.252.973,USD,2018-03-31,SQM-B
Total de patrimonio y pasivos,4.323.611,USD,2018-03-31,SQM-B
Efectivo y equivalentes al efectivo,528.022,USD,2018-06-30,SQM-B
Otros activos financieros corrientes,428.776,USD,2018-06-30,SQM-B
Otros activos no financieros corrientes,38.250,USD,2018-06-30,SQM-B
Deudores comerciales y otras cuentas por cobrar corrientes,442.720,USD,2018-06-30,SQM-B
"Cuentas por cobrar a entidades relacionadas, corrientes",73.303,USD,2018-06-30,SQM-B
Inventarios corrientes,905.767,USD,2018-06-30,SQM-B
Activos biológicos corrientes,-,USD,2018-06-30,SQM-B
"Activos por impuestos corrientes, corrientes",41.267,USD,2018-06-30,SQM-B
Total de activos corrientes distintos de los activo o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2.458.105,USD,2018-06-30,SQM-B
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,62.305,USD,2018-06-30,SQM-B
Activos corrientes totales,2.520.410,USD,2018-06-30,SQM-B
Otros activos financieros no corrientes,34.930,USD,2018-06-30,SQM-B
Otros activos no financieros no corrientes,28.138,USD,2018-06-30,SQM-B
Cuentas por cobrar no corrientes,1.706,USD,2018-06-30,SQM-B
"Cuentas por cobrar a entidades relacionadas, no corrientes",-,USD,2018-06-30,SQM-B
"Inventarios, no corrientes",-,USD,2018-06-30,SQM-B
Inversiones contabilizadas utilizando el método de la participación,114.195,USD,2018-06-30,SQM-B
Activos intangibles distintos de la plusvalía,129.201,USD,2018-06-30,SQM-B
Plusvalía,34.758,USD,2018-06-30,SQM-B
"Propiedades, planta y equipo",1.405.897,USD,2018-06-30,SQM-B
Activos biológicos no corrientes,-,USD,2018-06-30,SQM-B
Propiedad de inversión,-,USD,2018-06-30,SQM-B
"Activos por impuestos corrientes, no corrientes",32.179,USD,2018-06-30,SQM-B
Activos por impuestos diferidos,-,USD,2018-06-30,SQM-B
Total de activos no corrientes,1.781.004,USD,2018-06-30,SQM-B
Total de activos,4.301.414,USD,2018-06-30,SQM-B
Otros pasivos financieros corrientes,155.555,USD,2018-06-30,SQM-B
Cuentas por pagar comerciales y otras cuentas por pagar,182.654,USD,2018-06-30,SQM-B
"Cuentas por pagar a entidades relacionadas, corrientes",135,USD,2018-06-30,SQM-B
Otras provisiones a corto plazo,79.889,USD,2018-06-30,SQM-B
"Pasivos por impuestos corrientes, corrientes",59.046,USD,2018-06-30,SQM-B
Provisiones corrientes por beneficios a los empleados,9.990,USD,2018-06-30,SQM-B
Otros pasivos no financieros corrientes,205.251,USD,2018-06-30,SQM-B
Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,692.520,USD,2018-06-30,SQM-B
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,-,USD,2018-06-30,SQM-B
Pasivos corrientes totales,692.520,USD,2018-06-30,SQM-B
Otros pasivos financieros no corrientes,1.221.920,USD,2018-06-30,SQM-B
Cuentas por pagar no corrientes,-,USD,2018-06-30,SQM-B
"Cuentas por pagar a entidades relacionadas, no corrientes",-,USD,2018-06-30,SQM-B
Otras provisiones a largo plazo,28.202,USD,2018-06-30,SQM-B
Pasivo por impuestos diferidos,183.913,USD,2018-06-30,SQM-B
"Pasivos por impuestos corrientes, no corrientes",-,USD,2018-06-30,SQM-B
Provisiones no corrientes por beneficios a los empleados,35.049,USD,2018-06-30,SQM-B
Otros pasivos no financieros no corrientes,-,USD,2018-06-30,SQM-B
Total de pasivos no corrientes,1.469.084,USD,2018-06-30,SQM-B
Total de pasivos,2.161.604,USD,2018-06-30,SQM-B
Capital emitido,477.386,USD,2018-06-30,SQM-B
Ganancias (pérdidas) acumuladas,1.624.784,USD,2018-06-30,SQM-B
Prima de emisión,-,USD,2018-06-30,SQM-B
Acciones propias en cartera,-,USD,2018-06-30,SQM-B
Otras participaciones en el patrimonio,-,USD,2018-06-30,SQM-B
Otras reservas,-13.643,USD,2018-06-30,SQM-B
Patrimonio atribuible a los propietarios de la controladora,2.088.527,USD,2018-06-30,SQM-B
Participaciones no controladoras,51.283,USD,2018-06-30,SQM-B
Patrimonio total,2.139.810,USD,2018-06-30,SQM-B
Total de patrimonio y pasivos,4.301.414,USD,2018-06-30,SQM-B
Efectivo y equivalentes al efectivo,428.024,USD,2018-09-30,SQM-B
Otros activos financieros corrientes,332.367,USD,2018-09-30,SQM-B
Otros activos no financieros corrientes,39.580,USD,2018-09-30,SQM-B
Deudores comerciales y otras cuentas por cobrar corrientes,428.650,USD,2018-09-30,SQM-B
"Cuentas por cobrar a entidades relacionadas, corrientes",70.862,USD,2018-09-30,SQM-B
Inventarios corrientes,910.207,USD,2018-09-30,SQM-B
Activos biológicos corrientes,-,USD,2018-09-30,SQM-B
"Activos por impuestos corrientes, corrientes",52.089,USD,2018-09-30,SQM-B
Total de activos corrientes distintos de los activo o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2.261.779,USD,2018-09-30,SQM-B
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,60.131,USD,2018-09-30,SQM-B
Activos corrientes totales,2.321.910,USD,2018-09-30,SQM-B
Otros activos financieros no corrientes,31.930,USD,2018-09-30,SQM-B
Otros activos no financieros no corrientes,25.812,USD,2018-09-30,SQM-B
Cuentas por cobrar no corrientes,2.415,USD,2018-09-30,SQM-B
"Cuentas por cobrar a entidades relacionadas, no corrientes",-,USD,2018-09-30,SQM-B
"Inventarios, no corrientes",-,USD,2018-09-30,SQM-B
Inversiones contabilizadas utilizando el método de la participación,114.081,USD,2018-09-30,SQM-B
