ID,Date,Balance2,Value
CAP,2020-03-31,Debt,-988497.8648999999
CAP,2020-06-30,Cash,-500714.406
CAP,2020-06-30,Debt,-1067322.94212
CAP,2020-09-30,Cash,-520940.2745
CAP,2020-09-30,Debt,-882559.07638
CAP,2020-12-31,Cash,-395824.97471999994
CAP,2020-12-31,Debt,-516276.31368
CAP,2021-03-31,Cash,-448481.06857
CAP,2021-03-31,Debt,-467540.82031
CAP,2021-06-30,Cash,-499486.7332
CAP,2021-06-30,Debt,-566096.48368
CAP,2021-09-30,Cash,-728723.53765
CAP,2021-09-30,Debt,-517729.73289
CAP,2021-12-31,Cash,-801447.3505
CAP,2021-12-31,Debt,-598149.1745
CAP,2022-03-31,Cash,-640963.9218400001
CAP,2022-03-31,Debt,-543186.05528
CAP,2022-06-30,Cash,-327605.91685
CAP,2022-06-30,Debt,-672357.3145900001
CAP,2022-09-30,Cash,-311161.158
CAP,2022-09-30,Debt,-852875.604
CAP,2022-12-31,Cash,-301412.10729
CAP,2022-12-31,Debt,-870918.27623
CAP,2023-03-31,Cash,-265870.6022
CAP,2023-03-31,Debt,-869597.0012800001
CAP,2023-06-30,Cash,-274340.77307999996
CAP,2023-06-30,Debt,-982274.0312399999
CAP,2023-09-30,Cash,-267509.63844
CAP,2023-09-30,Debt,-1233652.44024
CAP,2023-12-31,Cash,-512435.02569000004
CAP,2023-12-31,Debt,-1448718.6961100001
CAP,2024-03-31,Cash,-520947.27258
CAP,2024-03-31,Debt,-1590400.52388
CAP,2024-06-30,Cash,-545947.2963
CAP,2024-06-30,Debt,-1584861.51572
CAP,2024-09-30,Cash,-445738.28625
CAP,2024-09-30,Debt,-1535575.5975000001
CAP,2024-12-31,Cash,-451853.11704000004
CAP,2024-12-31,Debt,-1696830.7729600002
CAP,2025-03-31,Cash,-433933.4955
CAP,2025-03-31,Debt,-1747153.4090000002
CAP,2025-06-30,Cash,-389284.68332
CAP,2025-06-30,Debt,-1747826.6376999998
COLBUN,2017-03-31,Cash,-440133.47072
COLBUN,2017-03-31,Debt,-1128804.20104
COLBUN,2017-06-30,Cash,-451626.77691
COLBUN,2017-06-30,Debt,-1129174.7139
COLBUN,2017-09-30,Cash,-494387.92870000005
COLBUN,2017-09-30,Debt,-1079800.19105
COLBUN,2017-12-31,Cash,-499044.9313
COLBUN,2017-12-31,Debt,-1020928.0594400001
COLBUN,2018-03-31,Cash,-534382.8434799999
COLBUN,2018-03-31,Debt,-1009844.23122
COLBUN,2018-06-30,Cash,-452992.8601500001
COLBUN,2018-06-30,Debt,-1059312.07265
COLBUN,2018-09-30,Cash,-519402.5235
COLBUN,2018-09-30,Debt,-1080323.433
COLBUN,2018-12-31,Cash,-548511.21498
COLBUN,2018-12-31,Debt,-1115374.0364700002
COLBUN,2019-03-31,Cash,-557184.0639300001
COLBUN,2019-03-31,Debt,-1097921.1665400001
