Date,Date_quarter,Holding,HoldingValue
2017-04-05,2017Q2,ALMENDRAL,1360985.300489225
2017-04-05,2017Q2,ANTARCHILE,5995500.726728672
2017-04-05,2017Q2,IAM,1189331.5103851596
2017-04-05,2017Q2,INVERCAP,512665.18820803106
2017-04-05,2017Q2,QUINENCO,0.0
2017-04-06,2017Q2,ALMENDRAL,1361682.7307310568
2017-04-06,2017Q2,ANTARCHILE,6031865.598855166
2017-04-06,2017Q2,IAM,1181271.5829202489
2017-04-06,2017Q2,INVERCAP,505214.5468123085
2017-04-06,2017Q2,QUINENCO,0.0
2017-04-07,2017Q2,ALMENDRAL,1345293.1200480056
2017-04-07,2017Q2,ANTARCHILE,6104346.94751232
2017-04-07,2017Q2,IAM,1173180.8923734112
2017-04-07,2017Q2,INVERCAP,507663.4498691415
2017-04-07,2017Q2,QUINENCO,0.0
2017-04-08,2017Q2,ALMENDRAL,1345293.1200480056
2017-04-08,2017Q2,ANTARCHILE,6104346.94751232
2017-04-08,2017Q2,IAM,1173180.8923734112
2017-04-08,2017Q2,INVERCAP,507663.4498691415
2017-04-08,2017Q2,QUINENCO,0.0
2017-04-09,2017Q2,ALMENDRAL,1345293.1200480056
2017-04-09,2017Q2,ANTARCHILE,6104346.94751232
2017-04-09,2017Q2,IAM,1173180.8923734112
2017-04-09,2017Q2,INVERCAP,507663.4498691415
2017-04-09,2017Q2,QUINENCO,0.0
2017-04-10,2017Q2,ALMENDRAL,1354459.3460835114
2017-04-10,2017Q2,ANTARCHILE,6085389.170048739
2017-04-10,2017Q2,IAM,1168874.0609036114
2017-04-10,2017Q2,INVERCAP,521265.5798452906
2017-04-10,2017Q2,QUINENCO,0.0
2017-04-11,2017Q2,ALMENDRAL,1358345.0288594323
2017-04-11,2017Q2,ANTARCHILE,6101539.788656614
2017-04-11,2017Q2,IAM,1158137.7453110397
2017-04-11,2017Q2,INVERCAP,513522.6290661264
2017-04-11,2017Q2,QUINENCO,0.0
2017-04-12,2017Q2,ALMENDRAL,1378321.4236433334
2017-04-12,2017Q2,ANTARCHILE,6011730.926027366
2017-04-12,2017Q2,IAM,1152200.4704991016
2017-04-12,2017Q2,INVERCAP,490196.34026748675
2017-04-12,2017Q2,QUINENCO,0.0
2017-04-13,2017Q2,ALMENDRAL,1365568.4135069777
