Date,ID,Price
2018-09-25,AGUAS-A,366.28
2018-09-26,AGUAS-A,365.11
2018-09-27,AGUAS-A,364.55
2018-09-28,AGUAS-A,364.07
2018-09-29,AGUAS-A,364.07
2018-09-30,AGUAS-A,364.07
2018-10-01,AGUAS-A,364.43
2018-10-02,AGUAS-A,363.19
2018-10-03,AGUAS-A,361.53
2018-10-04,AGUAS-A,361.7
2018-10-05,AGUAS-A,361.08
2018-10-06,AGUAS-A,361.08
2018-10-07,AGUAS-A,361.08
2018-10-08,AGUAS-A,363.71
2018-10-09,AGUAS-A,362.47
2018-10-10,AGUAS-A,357.6
2018-10-11,AGUAS-A,350.55
2018-10-12,AGUAS-A,350.67
2018-10-13,AGUAS-A,350.67
2018-10-14,AGUAS-A,350.67
2018-10-15,AGUAS-A,350.67
2018-10-16,AGUAS-A,359.74
2018-10-17,AGUAS-A,359.48
2018-10-18,AGUAS-A,358.41
2018-10-19,AGUAS-A,358.3
2018-10-20,AGUAS-A,358.3
2018-10-21,AGUAS-A,358.3
2018-10-22,AGUAS-A,359.66
2018-10-23,AGUAS-A,361.76
2018-10-24,AGUAS-A,360.88
2018-10-25,AGUAS-A,361.02
2018-10-26,AGUAS-A,359.38
2018-10-27,AGUAS-A,359.38
2018-10-28,AGUAS-A,359.38
2018-10-29,AGUAS-A,360.12
2018-10-30,AGUAS-A,360.09
2018-10-31,AGUAS-A,362.01
2018-11-01,AGUAS-A,362.01
2018-11-02,AGUAS-A,362.01
2018-11-03,AGUAS-A,362.01
2018-11-04,AGUAS-A,362.01
2018-11-05,AGUAS-A,368.78
2018-11-06,AGUAS-A,364.96
2018-11-07,AGUAS-A,368.31
2018-11-08,AGUAS-A,371.42
2018-11-09,AGUAS-A,370.04
2018-11-10,AGUAS-A,370.04
2018-11-11,AGUAS-A,370.04
2018-11-12,AGUAS-A,368.55
2018-11-13,AGUAS-A,371.19
2018-11-14,AGUAS-A,371.93
2018-11-15,AGUAS-A,372.23
2018-11-16,AGUAS-A,378.03
2018-11-17,AGUAS-A,378.03
2018-11-18,AGUAS-A,378.03
2018-11-19,AGUAS-A,386.24
2018-11-20,AGUAS-A,382.29
2018-11-21,AGUAS-A,381.99
2018-11-22,AGUAS-A,380.38
2018-11-23,AGUAS-A,381.1
2018-11-24,AGUAS-A,381.1
2018-11-25,AGUAS-A,381.1
2018-11-26,AGUAS-A,381.25
2018-11-27,AGUAS-A,391.16
2018-11-28,AGUAS-A,389.71
2018-11-29,AGUAS-A,388.34
2018-11-30,AGUAS-A,387.5
2018-12-01,AGUAS-A,387.5
2018-12-02,AGUAS-A,387.5
2018-12-03,AGUAS-A,394.39
2018-12-04,AGUAS-A,394.49
2018-12-05,AGUAS-A,393.12
2018-12-06,AGUAS-A,387.78
2018-12-07,AGUAS-A,378.68
2018-12-08,AGUAS-A,378.68
2018-12-09,AGUAS-A,378.68
2018-12-10,AGUAS-A,376.16
2018-12-11,AGUAS-A,375.8
2018-12-12,AGUAS-A,377.44
2018-12-13,AGUAS-A,377.76
2018-12-14,AGUAS-A,380.6
2018-12-15,AGUAS-A,380.6
2018-12-16,AGUAS-A,380.6
2018-12-17,AGUAS-A,379.02
2018-12-18,AGUAS-A,386.87
2018-12-19,AGUAS-A,383.9
2018-12-20,AGUAS-A,382.77
2018-12-21,AGUAS-A,380.06
2018-12-22,AGUAS-A,380.06
2018-12-23,AGUAS-A,380.06
2018-12-24,AGUAS-A,381.25
2018-12-25,AGUAS-A,381.25
2018-12-26,AGUAS-A,381.78
2018-12-27,AGUAS-A,381.41
2018-12-28,AGUAS-A,381.72
2018-12-29,AGUAS-A,381.72
2018-12-30,AGUAS-A,381.72
2018-12-31,AGUAS-A,381.72
2019-01-01,AGUAS-A,381.72
2019-01-02,AGUAS-A,383.03
2019-01-03,AGUAS-A,385.61
2019-01-04,AGUAS-A,394.47
2019-01-05,AGUAS-A,394.47
2019-01-06,AGUAS-A,394.47
2019-01-07,AGUAS-A,392.03
2019-01-08,AGUAS-A,392.33
2019-01-09,AGUAS-A,391.53
2019-01-10,AGUAS-A,393.49
2019-01-11,AGUAS-A,392.4
2019-01-12,AGUAS-A,392.4
2019-01-13,AGUAS-A,392.4
2019-01-14,AGUAS-A,390.0
2019-01-15,AGUAS-A,391.38
2019-01-16,AGUAS-A,394.0
2019-01-17,AGUAS-A,395.99
2019-01-18,AGUAS-A,394.6
2019-01-19,AGUAS-A,394.6
2019-01-20,AGUAS-A,394.6
2019-01-21,AGUAS-A,393.0
2019-01-22,AGUAS-A,393.0
2019-01-23,AGUAS-A,394.9
2019-01-24,AGUAS-A,394.0
2019-01-25,AGUAS-A,392.85
2019-01-26,AGUAS-A,392.85
2019-01-27,AGUAS-A,392.85
2019-01-28,AGUAS-A,392.0
2019-01-29,AGUAS-A,392.6
2019-01-30,AGUAS-A,389.6
2019-01-31,AGUAS-A,387.6
2019-02-01,AGUAS-A,392.0
2019-02-02,AGUAS-A,392.0
2019-02-03,AGUAS-A,392.0
2019-02-04,AGUAS-A,395.0
2019-02-05,AGUAS-A,394.0
2019-02-06,AGUAS-A,393.12
2019-02-07,AGUAS-A,392.99
2019-02-08,AGUAS-A,395.0
2019-02-09,AGUAS-A,395.0
2019-02-10,AGUAS-A,395.0
2019-02-11,AGUAS-A,397.89
2019-02-12,AGUAS-A,396.15
2019-02-13,AGUAS-A,396.0
2019-02-14,AGUAS-A,396.0
2019-02-15,AGUAS-A,398.0
2019-02-16,AGUAS-A,398.0
2019-02-17,AGUAS-A,398.0
2019-02-18,AGUAS-A,394.22
2019-02-19,AGUAS-A,402.49
2019-02-20,AGUAS-A,407.8
2019-02-21,AGUAS-A,408.0
2019-02-22,AGUAS-A,404.0
2019-02-23,AGUAS-A,404.0
2019-02-24,AGUAS-A,404.0
2019-02-25,AGUAS-A,401.98
2019-02-26,AGUAS-A,395.6
2019-02-27,AGUAS-A,393.0
2019-02-28,AGUAS-A,384.0
2019-03-01,AGUAS-A,388.0
2019-03-02,AGUAS-A,388.0
2019-03-03,AGUAS-A,388.0
2019-03-04,AGUAS-A,390.0
2019-03-05,AGUAS-A,386.5
2019-03-06,AGUAS-A,385.93
2019-03-07,AGUAS-A,386.9
2019-03-08,AGUAS-A,386.9
2019-03-09,AGUAS-A,386.9
2019-03-10,AGUAS-A,386.9
2019-03-11,AGUAS-A,382.9
2019-03-12,AGUAS-A,383.5
2019-03-13,AGUAS-A,387.0
2019-03-14,AGUAS-A,387.95
2019-03-15,AGUAS-A,383.1
2019-03-16,AGUAS-A,383.1
2019-03-17,AGUAS-A,383.1
2019-03-18,AGUAS-A,386.7
2019-03-19,AGUAS-A,388.0
2019-03-20,AGUAS-A,385.55
2019-03-21,AGUAS-A,388.0
2019-03-22,AGUAS-A,388.0
2019-03-23,AGUAS-A,388.0
2019-03-24,AGUAS-A,388.0
2019-03-25,AGUAS-A,385.0
2019-03-26,AGUAS-A,385.41
2019-03-27,AGUAS-A,385.2
2019-03-28,AGUAS-A,386.0
2019-03-29,AGUAS-A,386.9
2019-03-30,AGUAS-A,386.9
2019-03-31,AGUAS-A,386.9
2019-04-01,AGUAS-A,385.33
2019-04-02,AGUAS-A,384.0
2019-04-03,AGUAS-A,382.88
2019-04-04,AGUAS-A,382.5
2019-04-05,AGUAS-A,381.0
2019-04-06,AGUAS-A,381.0
2019-04-07,AGUAS-A,381.0
2019-04-08,AGUAS-A,383.0
2019-04-09,AGUAS-A,381.57
2019-04-10,AGUAS-A,382.95
2019-04-11,AGUAS-A,382.0
2019-04-12,AGUAS-A,382.0
2019-04-13,AGUAS-A,382.0
2019-04-14,AGUAS-A,382.0
2019-04-15,AGUAS-A,382.0
2019-04-16,AGUAS-A,382.8
2019-04-17,AGUAS-A,382.9
2019-04-18,AGUAS-A,387.9
2019-04-19,AGUAS-A,387.9
2019-04-20,AGUAS-A,387.9
2019-04-21,AGUAS-A,387.9
2019-04-22,AGUAS-A,384.75
2019-04-23,AGUAS-A,385.95
2019-04-24,AGUAS-A,382.01
2019-04-25,AGUAS-A,382.9
2019-04-26,AGUAS-A,388.0
2019-04-27,AGUAS-A,388.0
2019-04-28,AGUAS-A,388.0
2019-04-29,AGUAS-A,388.0
2019-04-30,AGUAS-A,389.99
2019-05-01,AGUAS-A,389.99
2019-05-02,AGUAS-A,392.25
2019-05-03,AGUAS-A,396.99
2019-05-04,AGUAS-A,396.99
2019-05-05,AGUAS-A,396.99
2019-05-06,AGUAS-A,398.8
2019-05-07,AGUAS-A,399.6
2019-05-08,AGUAS-A,395.25
2019-05-09,AGUAS-A,394.0
2019-05-10,AGUAS-A,395.25
2019-05-11,AGUAS-A,395.25
2019-05-12,AGUAS-A,395.25
2019-05-13,AGUAS-A,397.5
2019-05-14,AGUAS-A,396.5
2019-05-15,AGUAS-A,395.5
2019-05-16,AGUAS-A,394.99
2019-05-17,AGUAS-A,376.5
2019-05-18,AGUAS-A,376.5
2019-05-19,AGUAS-A,376.5
2019-05-20,AGUAS-A,380.0
2019-05-21,AGUAS-A,380.0
2019-05-22,AGUAS-A,380.0
2019-05-23,AGUAS-A,382.49
2019-05-24,AGUAS-A,383.5
2019-05-25,AGUAS-A,383.5
2019-05-26,AGUAS-A,383.5
2019-05-27,AGUAS-A,382.0
2019-05-28,AGUAS-A,380.0
2019-05-29,AGUAS-A,390.0
2019-05-30,AGUAS-A,385.01
2019-05-31,AGUAS-A,391.5
2019-06-01,AGUAS-A,391.5
2019-06-02,AGUAS-A,391.5
2019-06-03,AGUAS-A,398.6
2019-06-04,AGUAS-A,392.02
2019-06-05,AGUAS-A,395.94
2019-06-06,AGUAS-A,391.98
2019-06-07,AGUAS-A,395.82
2019-06-08,AGUAS-A,395.82
2019-06-09,AGUAS-A,395.82
2019-06-10,AGUAS-A,398.48
2019-06-11,AGUAS-A,399.1
2019-06-12,AGUAS-A,399.01
2019-06-13,AGUAS-A,402.8
2019-06-14,AGUAS-A,403.0
2019-06-15,AGUAS-A,403.0
2019-06-16,AGUAS-A,403.0
2019-06-17,AGUAS-A,401.15
2019-06-18,AGUAS-A,405.49
2019-06-19,AGUAS-A,405.19
2019-06-20,AGUAS-A,404.9
2019-06-21,AGUAS-A,402.41
2019-06-22,AGUAS-A,402.41
2019-06-23,AGUAS-A,402.41
2019-06-24,AGUAS-A,401.51
2019-06-25,AGUAS-A,405.22
2019-06-26,AGUAS-A,402.13
2019-06-27,AGUAS-A,403.0
2019-06-28,AGUAS-A,400.0
2019-06-29,AGUAS-A,400.0
2019-06-30,AGUAS-A,400.0
2019-07-01,AGUAS-A,410.0
2019-07-02,AGUAS-A,399.0
2019-07-03,AGUAS-A,406.17
2019-07-04,AGUAS-A,404.75
2019-07-05,AGUAS-A,405.35
2019-07-06,AGUAS-A,405.35
2019-07-07,AGUAS-A,405.35
2019-07-08,AGUAS-A,405.5
2019-07-09,AGUAS-A,406.9
2019-07-10,AGUAS-A,406.0
2019-07-11,AGUAS-A,406.2
2019-07-12,AGUAS-A,406.0
2019-07-13,AGUAS-A,406.0
2019-07-14,AGUAS-A,406.0
2019-07-15,AGUAS-A,407.0
2019-07-16,AGUAS-A,407.0
2019-07-17,AGUAS-A,407.0
2019-07-18,AGUAS-A,407.5
2019-07-19,AGUAS-A,407.0
2019-07-20,AGUAS-A,407.0
2019-07-21,AGUAS-A,407.0
2019-07-22,AGUAS-A,398.0
2019-07-23,AGUAS-A,388.0
2019-07-24,AGUAS-A,385.02
2019-07-25,AGUAS-A,393.0
2019-07-26,AGUAS-A,390.1
2019-07-27,AGUAS-A,390.1
2019-07-28,AGUAS-A,390.1
2019-07-29,AGUAS-A,393.0
2019-07-30,AGUAS-A,394.0
2019-07-31,AGUAS-A,394.05
2019-08-01,AGUAS-A,395.8
2019-08-02,AGUAS-A,394.0
2019-08-03,AGUAS-A,394.0
2019-08-04,AGUAS-A,394.0
2019-08-05,AGUAS-A,386.0
2019-08-06,AGUAS-A,383.89
2019-08-07,AGUAS-A,382.0
2019-08-08,AGUAS-A,382.5
2019-08-09,AGUAS-A,377.0
2019-08-10,AGUAS-A,377.0
2019-08-11,AGUAS-A,377.0
2019-08-12,AGUAS-A,381.0
2019-08-13,AGUAS-A,386.72
2019-08-14,AGUAS-A,382.1
2019-08-15,AGUAS-A,382.1
2019-08-16,AGUAS-A,389.0
2019-08-17,AGUAS-A,389.0
2019-08-18,AGUAS-A,389.0
2019-08-19,AGUAS-A,384.5
2019-08-20,AGUAS-A,386.0
2019-08-21,AGUAS-A,387.0
2019-08-22,AGUAS-A,387.0
2019-08-23,AGUAS-A,383.65
2019-08-24,AGUAS-A,383.65
2019-08-25,AGUAS-A,383.65
2019-08-26,AGUAS-A,381.7
2019-08-27,AGUAS-A,376.32
2019-08-28,AGUAS-A,381.2
2019-08-29,AGUAS-A,385.0
2019-08-30,AGUAS-A,397.0
2019-08-31,AGUAS-A,397.0
2019-09-01,AGUAS-A,397.0
2019-09-02,AGUAS-A,393.99
2019-09-03,AGUAS-A,393.02
2019-09-04,AGUAS-A,394.5
2019-09-05,AGUAS-A,388.42
2019-09-06,AGUAS-A,392.41
2019-09-07,AGUAS-A,392.41
2019-09-08,AGUAS-A,392.41
2019-09-09,AGUAS-A,392.0
2019-09-10,AGUAS-A,396.5
2019-09-11,AGUAS-A,398.1
2019-09-12,AGUAS-A,398.98
2019-09-13,AGUAS-A,397.5
2019-09-14,AGUAS-A,397.5
2019-09-15,AGUAS-A,397.5
2019-09-16,AGUAS-A,403.0
2019-09-17,AGUAS-A,412.0
2019-09-18,AGUAS-A,412.0
2019-09-19,AGUAS-A,412.0
2019-09-20,AGUAS-A,412.0
2019-09-21,AGUAS-A,412.0
2019-09-22,AGUAS-A,412.0
2019-09-23,AGUAS-A,403.16
2019-09-24,AGUAS-A,404.9
2019-09-25,AGUAS-A,401.95
2019-09-26,AGUAS-A,402.0
2019-09-27,AGUAS-A,402.0
2019-09-28,AGUAS-A,402.0
2019-09-29,AGUAS-A,402.0
2019-09-30,AGUAS-A,398.8
2019-10-01,AGUAS-A,390.0
2019-10-02,AGUAS-A,393.33
2019-10-03,AGUAS-A,392.79
2019-10-04,AGUAS-A,387.81
2019-10-05,AGUAS-A,387.81
2019-10-06,AGUAS-A,387.81
2019-10-07,AGUAS-A,388.99
2019-10-08,AGUAS-A,387.0
2019-10-09,AGUAS-A,386.89
2019-10-10,AGUAS-A,388.0
2019-10-11,AGUAS-A,392.5
2019-10-12,AGUAS-A,392.5
2019-10-13,AGUAS-A,392.5
2019-10-14,AGUAS-A,389.1
