Date,Date_quarter,Holding,HoldingValue,NetDebt,eqy_shares_total,NAV,NAV_PS,Price,stale,Discount
2021-02-19,2021Q1,INVERCAP,669193.6151589697,113548.79677999998,149.253056,555644.8183789697,3722.837128232535,2783.7,False,0.2522638234991502
2021-02-22,2021Q1,INVERCAP,675494.5063131552,113548.79677999998,149.253056,561945.7095331552,3765.0532899852665,2858.3,False,0.24083411844319857
2021-02-23,2021Q1,INVERCAP,671337.2173042081,113548.79677999998,149.253056,557788.4205242081,3737.199327591712,2821.3,False,0.24507639205370568
2021-02-24,2021Q1,INVERCAP,675494.5063131552,113548.79677999998,149.253056,561945.7095331552,3765.0532899852665,2887.7,False,0.23302546402701774
2021-02-25,2021Q1,INVERCAP,661918.359393312,113548.79677999998,149.253056,548369.562613312,3674.092694043813,2838.0,False,0.22756439852462873
2021-02-26,2021Q1,INVERCAP,662567.9358009599,113548.79677999998,149.253056,549019.13902096,3678.4448756678057,2800.0,False,0.2388087643989304
2021-03-01,2021Q1,INVERCAP,669063.69987744,113548.79677999998,149.253056,555514.90309744,3721.966691907736,2825.8,False,0.24077773018661686
2021-03-02,2021Q1,INVERCAP,679456.9223998081,113548.79677999998,149.253056,565908.1256198081,3791.601597891625,2812.3,False,0.25828177687133047
2021-03-03,2021Q1,INVERCAP,681405.651622752,113548.79677999998,149.253056,567856.854842752,3804.658142763603,2800.0,False,0.26406002985431054
2021-03-04,2021Q1,INVERCAP,688550.9921068801,113548.79677999998,149.253056,575002.1953268801,3852.532140627527,2790.0,False,0.2758009801975213
2021-03-05,2021Q1,INVERCAP,702841.673075136,113548.79677999998,149.253056,589292.876295136,3948.280136355373,2760.0,False,0.3009614554483627
2021-03-08,2021Q1,INVERCAP,744804.3090091968,113548.79677999998,149.253056,631255.5122291968,4229.431069265322,2900.0,False,0.31432858166813726
2021-03-09,2021Q1,INVERCAP,738243.587291952,113548.79677999998,149.253056,624694.790511952,4185.474034862992,2876.7,False,0.31269433855317985
2021-03-10,2021Q1,INVERCAP,747662.4452028481,113548.79677999998,149.253056,634113.6484228481,4248.580668410891,3000.8,False,0.2936935333930242
2021-03-11,2021Q1,INVERCAP,766435.2033838752,113548.79677999998,149.253056,652886.4066038752,4374.358717344288,2984.8,False,0.3176599833558921
2021-03-12,2021Q1,INVERCAP,761628.3379672801,113548.79677999998,149.253056,648079.5411872801,4342.152573326741,3000.0,False,0.30909843692996963
2021-03-15,2021Q1,INVERCAP,760004.39694816,113548.79677999998,149.253056,646455.60016816,4331.272119266758,3028.2,False,0.30085205532811343
2021-03-16,2021Q1,INVERCAP,770397.619470528,113548.79677999998,149.253056,656848.822690528,4400.907025250646,2989.0,False,0.320821825398648
2021-03-17,2021Q1,INVERCAP,782739.57121584,113548.79677999998,149.253056,669190.7744358401,4483.598476106514,2992.3,False,0.3326119598027729
2021-03-18,2021Q1,INVERCAP,813269.662375296,113548.79677999998,149.253056,699720.865595296,4688.151012434185,3100.0,False,0.33875850163998533
2021-03-19,2021Q1,INVERCAP,811970.50956,113548.79677999998,149.253056,698421.7127800001,4679.4466491861995,3048.1,False,0.3486195636977518
2021-03-22,2021Q1,INVERCAP,784298.5545941952,113548.79677999998,149.253056,670749.7578141952,4494.043712004097,3001.0,False,0.33222723402000054
2021-03-23,2021Q1,INVERCAP,763252.2789864,113548.79677999998,149.253056,649703.4822064,4353.033027386723,2940.8,False,0.32442506604057064
2021-03-24,2021Q1,INVERCAP,759354.820540512,113548.79677999998,149.253056,645806.023760512,4326.919937642765,3038.0,False,0.29788393504339894
2021-03-25,2021Q1,INVERCAP,741491.4693301921,113548.79677999998,149.253056,627942.6725501921,4207.234942982957,2964.5,False,0.2953804481624338
2021-03-26,2021Q1,INVERCAP,763382.1942679296,113548.79677999998,149.253056,649833.3974879297,4353.903463711522,2923.7,False,0.3284876377328617
2021-03-29,2021Q1,INVERCAP,763252.2789864,113548.79677999998,149.253056,649703.4822064,4353.033027386723,2846.2,False,0.34615703990909696
2021-03-30,2021Q1,INVERCAP,750260.75083344,113548.79677999998,149.253056,636711.95405344,4265.989394906863,2850.0,False,0.33192520276712445
2021-03-31,2021Q1,INVERCAP,757925.7524436865,113548.79677999998,149.253056,644376.9556636865,4317.345138069981,2850.0,False,0.33987209526777384
2021-04-01,2021Q2,INVERCAP,775594.2307317121,5950.621040000056,149.253056,769643.6096917121,5156.635517678862,2899.5,False,0.4377147676892351
2021-04-05,2021Q2,INVERCAP,798978.98140704,5950.621040000056,149.253056,793028.3603670399,5313.314056142609,2928.0,False,0.4489315013075499
2021-04-06,2021Q2,INVERCAP,810476.4838224096,5950.621040000056,149.253056,804525.8627824096,5390.347670887287,2903.3,False,0.4613891019162967
2021-04-07,2021Q2,INVERCAP,810541.4414631744,5950.621040000056,149.253056,804590.8204231744,5390.782889049686,2905.1,False,0.46109868273472143
2021-04-08,2021Q2,INVERCAP,822948.3508492513,5950.621040000056,149.253056,816997.7298092511,5473.909558067951,2912.1,False,0.46800363266728096
2021-04-09,2021Q2,INVERCAP,829833.86077032,5950.621040000056,149.253056,823883.2397303199,5520.042683282278,2905.2,False,0.4736997217795903
2021-04-12,2021Q2,INVERCAP,830808.225381792,5950.621040000056,149.253056,824857.604341792,5526.570955718267,2886.4,False,0.47772316267585757
2021-04-13,2021Q2,INVERCAP,829898.8184110848,5950.621040000056,149.253056,823948.1973710847,5520.477901444677,2886.5,False,0.47712860162982995
2021-04-14,2021Q2,INVERCAP,832432.1664009121,5950.621040000056,149.253056,826481.5453609121,5537.45140977825,2886.5,False,0.47873131764137844
2021-04-15,2021Q2,INVERCAP,857440.8580953601,5950.621040000056,149.253056,851490.2370553601,5705.010402301981,2927.4,False,0.4868721012640417
2021-04-16,2021Q2,INVERCAP,908627.4790180225,5950.621040000056,149.253056,902676.8579780224,6047.9623142726305,2919.9,False,0.5172092932673693
2021-04-19,2021Q2,INVERCAP,948381.5551660801,5950.621040000056,149.253056,942430.93412608,6314.315829661003,3006.9,False,0.5237963888541457
2021-04-20,2021Q2,INVERCAP,964620.96535728,5950.621040000056,149.253056,958670.34431728,6423.120370260828,2992.2,False,0.5341516541004052
2021-04-21,2021Q2,INVERCAP,929024.1782181697,5950.621040000056,149.253056,923073.5571781697,6184.620817266012,3179.8,False,0.485853685463991
