Description,Value,Curncy,Date,ID
Plusvalía,486.669,USD,2018-03-31,ORO_BLANCO
"Propiedades, planta y equipo",-,USD,2018-03-31,ORO_BLANCO
Activos biológicos no corrientes,-,USD,2018-03-31,ORO_BLANCO
Propiedad de inversión,-,USD,2018-03-31,ORO_BLANCO
"Activos por impuestos corrientes, no corrientes",-,USD,2018-03-31,ORO_BLANCO
Activos por impuestos diferidos,1.993,USD,2018-03-31,ORO_BLANCO
Total de activos no corrientes,1.526.784,USD,2018-03-31,ORO_BLANCO
Total de activos,2.009.347,USD,2018-03-31,ORO_BLANCO
Otros pasivos financieros corrientes,98.378,USD,2018-03-31,ORO_BLANCO
Cuentas por pagar comerciales y otras cuentas por pagar,4.501,USD,2018-03-31,ORO_BLANCO
"Cuentas por pagar a entidades relacionadas, corrientes",-,USD,2018-03-31,ORO_BLANCO
Otras provisiones a corto plazo,-,USD,2018-03-31,ORO_BLANCO
"Pasivos por impuestos corrientes, corrientes",911,USD,2018-03-31,ORO_BLANCO
Provisiones corrientes por beneficios a los empleados,-,USD,2018-03-31,ORO_BLANCO
Otros pasivos no financieros corrientes,11.692,USD,2018-03-31,ORO_BLANCO
Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,115.482,USD,2018-03-31,ORO_BLANCO
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,-,USD,2018-03-31,ORO_BLANCO
Pasivos corrientes totales,115.482,USD,2018-03-31,ORO_BLANCO
Otros pasivos financieros no corrientes,492.709,USD,2018-03-31,ORO_BLANCO
Cuentas por pagar no corrientes,-,USD,2018-03-31,ORO_BLANCO
"Cuentas por pagar a entidades relacionadas, no corrientes",-,USD,2018-03-31,ORO_BLANCO
Otras provisiones a largo plazo,-,USD,2018-03-31,ORO_BLANCO
Pasivo por impuestos diferidos,1.486,USD,2018-03-31,ORO_BLANCO
"Pasivos por impuestos corrientes, no corrientes",-,USD,2018-03-31,ORO_BLANCO
Provisiones no corrientes por beneficios a los empleados,107,USD,2018-03-31,ORO_BLANCO
Otros pasivos no financieros no corrientes,-,USD,2018-03-31,ORO_BLANCO
Total de pasivos no corrientes,494.302,USD,2018-03-31,ORO_BLANCO
Total de pasivos,609.784,USD,2018-03-31,ORO_BLANCO
Capital emitido,775.504,USD,2018-03-31,ORO_BLANCO
Ganancias (pérdidas) acumuladas,507.659,USD,2018-03-31,ORO_BLANCO
Prima de emisión,83.212,USD,2018-03-31,ORO_BLANCO
Acciones propias en cartera,-,USD,2018-03-31,ORO_BLANCO
Otras participaciones en el patrimonio,851,USD,2018-03-31,ORO_BLANCO
Otras reservas,-92.177,USD,2018-03-31,ORO_BLANCO
Patrimonio atribuible a los propietarios de la controladora,1.275.049,USD,2018-03-31,ORO_BLANCO
Participaciones no controladoras,124.514,USD,2018-03-31,ORO_BLANCO
Patrimonio total,1.399.563,USD,2018-03-31,ORO_BLANCO
Total de patrimonio y pasivos,2.009.347,USD,2018-03-31,ORO_BLANCO
Efectivo y equivalentes al efectivo,57.585,USD,2018-06-30,ORO_BLANCO
Otros activos financieros corrientes,36.406,USD,2018-06-30,ORO_BLANCO
Otros activos no financieros corrientes,-,USD,2018-06-30,ORO_BLANCO
Deudores comerciales y otras cuentas por cobrar corrientes,-,USD,2018-06-30,ORO_BLANCO
"Cuentas por cobrar a entidades relacionadas, corrientes",378.268,USD,2018-06-30,ORO_BLANCO
Inventarios corrientes,-,USD,2018-06-30,ORO_BLANCO
Activos biológicos corrientes,-,USD,2018-06-30,ORO_BLANCO
"Activos por impuestos corrientes, corrientes",28.831,USD,2018-06-30,ORO_BLANCO
Total de activos corrientes distintos de los activo o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,501.090,USD,2018-06-30,ORO_BLANCO
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,-,USD,2018-06-30,ORO_BLANCO
Activos corrientes totales,501.090,USD,2018-06-30,ORO_BLANCO
Otros activos financieros no corrientes,-,USD,2018-06-30,ORO_BLANCO
Otros activos no financieros no corrientes,-,USD,2018-06-30,ORO_BLANCO
Cuentas por cobrar no corrientes,-,USD,2018-06-30,ORO_BLANCO
"Cuentas por cobrar a entidades relacionadas, no corrientes",-,USD,2018-06-30,ORO_BLANCO
"Inventarios, no corrientes",-,USD,2018-06-30,ORO_BLANCO
Inversiones contabilizadas utilizando el método de la participación,1.243.212,USD,2018-06-30,ORO_BLANCO
Activos intangibles distintos de la plusvalía,-,USD,2018-06-30,ORO_BLANCO
Plusvalía,486.669,USD,2018-06-30,ORO_BLANCO
"Propiedades, planta y equipo",-,USD,2018-06-30,ORO_BLANCO
Activos biológicos no corrientes,-,USD,2018-06-30,ORO_BLANCO
Propiedad de inversión,-,USD,2018-06-30,ORO_BLANCO
"Activos por impuestos corrientes, no corrientes",-,USD,2018-06-30,ORO_BLANCO
Activos por impuestos diferidos,-,USD,2018-06-30,ORO_BLANCO
Total de activos no corrientes,1.729.881,USD,2018-06-30,ORO_BLANCO
Total de activos,2.230.971,USD,2018-06-30,ORO_BLANCO
Otros pasivos financieros corrientes,347.669,USD,2018-06-30,ORO_BLANCO
Cuentas por pagar comerciales y otras cuentas por pagar,29,USD,2018-06-30,ORO_BLANCO
"Cuentas por pagar a entidades relacionadas, corrientes",-,USD,2018-06-30,ORO_BLANCO
Otras provisiones a corto plazo,-,USD,2018-06-30,ORO_BLANCO
"Pasivos por impuestos corrientes, corrientes",503,USD,2018-06-30,ORO_BLANCO
Provisiones corrientes por beneficios a los empleados,-,USD,2018-06-30,ORO_BLANCO
Otros pasivos no financieros corrientes,7.688,USD,2018-06-30,ORO_BLANCO
Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,355.889,USD,2018-06-30,ORO_BLANCO
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,-,USD,2018-06-30,ORO_BLANCO
Pasivos corrientes totales,355.889,USD,2018-06-30,ORO_BLANCO
Otros pasivos financieros no corrientes,456.172,USD,2018-06-30,ORO_BLANCO
Cuentas por pagar no corrientes,-,USD,2018-06-30,ORO_BLANCO
"Cuentas por pagar a entidades relacionadas, no corrientes",-,USD,2018-06-30,ORO_BLANCO
Otras provisiones a largo plazo,-,USD,2018-06-30,ORO_BLANCO
Pasivo por impuestos diferidos,1.613,USD,2018-06-30,ORO_BLANCO
"Pasivos por impuestos corrientes, no corrientes",-,USD,2018-06-30,ORO_BLANCO
Provisiones no corrientes por beneficios a los empleados,99,USD,2018-06-30,ORO_BLANCO
Otros pasivos no financieros no corrientes,-,USD,2018-06-30,ORO_BLANCO
Total de pasivos no corrientes,457.884,USD,2018-06-30,ORO_BLANCO
Total de pasivos,813.773,USD,2018-06-30,ORO_BLANCO
Capital emitido,775.504,USD,2018-06-30,ORO_BLANCO
Ganancias (pérdidas) acumuladas,524.606,USD,2018-06-30,ORO_BLANCO
Prima de emisión,83.212,USD,2018-06-30,ORO_BLANCO
Acciones propias en cartera,-,USD,2018-06-30,ORO_BLANCO
Otras participaciones en el patrimonio,851,USD,2018-06-30,ORO_BLANCO
Otras reservas,-93.632,USD,2018-06-30,ORO_BLANCO
Patrimonio atribuible a los propietarios de la controladora,1.290.541,USD,2018-06-30,ORO_BLANCO
Participaciones no controladoras,126.657,USD,2018-06-30,ORO_BLANCO
Patrimonio total,1.417.198,USD,2018-06-30,ORO_BLANCO
Total de patrimonio y pasivos,2.230.971,USD,2018-06-30,ORO_BLANCO
Efectivo y equivalentes al efectivo,77.436,USD,2018-09-30,ORO_BLANCO
Otros activos financieros corrientes,23.775,USD,2018-09-30,ORO_BLANCO
Otros activos no financieros corrientes,-,USD,2018-09-30,ORO_BLANCO
